selection,view,channel,start_time,end_time,LowFreq,HighFreq,sound_category,sound_type,confidence,notes,name,filename
1,Spectrogram 1,1,87.28349179,87.75700078,0,8000,elephant_vocalization,trumpet,3,"Boni, play/afraid",giot,0mCage_Eloc_20211011_075014.wav
2,Spectrogram 1,1,343.4518592,344.2094736,0,8000,elephant_vocalization,trumpet,3,"Boni, play/afraid",giot,0mCage_Eloc_20211011_075014.wav
3,Spectrogram 1,1,346.4823168,347.0505276,0,7582.6,elephant_vocalization,trumpet,3,"Boni, play/afraid",giot,0mCage_Eloc_20211011_075014.wav
4,Spectrogram 1,1,2537.533797,2538.627547,0,8000,elephant_sound,unidentified,2,"Chris, mungkin ada yang mengganggu di belalai atau mulutnya",giot,0mCage_Eloc_20211011_075014.wav
5,Spectrogram 1,1,2734.408793,2735.4579,0,8000,elephant_sound,unidentified,2,"Chris, mungkin ada yang mengganggu di belalai atau mulutnya",giot,0mCage_Eloc_20211011_075014.wav
6,Spectrogram 1,1,3559.97797,3560.692256,0,8000,elephant_sound,unidentified,3,"not sure from which elephant, maybe Eropa (?)",giot,0mCage_Eloc_20211011_075014.wav
1,Spectrogram 1,1,1850.412914,1850.915146,0,8000,elephant_vocalization,trumpet,3,"Boni, play/afraid",Giot,0mCage_Eloc_20211011_085014.wav
2,Spectrogram 1,1,2132.734338,2133.415141,0,8000,elephant_vocalization,trumpet,3,"Boni, afraid",Giot,0mCage_Eloc_20211011_085014.wav
3,Spectrogram 1,1,3049.47744,3049.901547,260.9,4643.5,elephant_vocalization,trumpet,2,"yuni, habis dimarahin mahout karna ambil pisang sembarangan",Giot,0mCage_Eloc_20211011_085014.wav
1,Spectrogram 1,1,699.8147322,700.6670484,393.5,2367.3,elephant_vocalization,trumpet,3,maybe Olive from far away,Giot,0mCage_Eloc_20211011_155016.wav
2,Spectrogram 1,1,873.0874578,873.8766395,843.5,4982.6,elephant_vocalization,trumpet,3,from far away,Giot,0mCage_Eloc_20211011_155016.wav
3,Spectrogram 1,1,1132.270499,1137.194993,16.9,169.1,elephant_vocalization,rumble,3,dont know which elephants,Giot,0mCage_Eloc_20211011_155016.wav
4,Spectrogram 1,1,2311.306567,2314.842101,13.5,126.8,elephant_vocalization,rumble,3,"Agustin, ketika diajarin mahout",Giot,0mCage_Eloc_20211011_155016.wav
5,Spectrogram 1,1,2980.437917,2982.489789,89.2,8000,elephant_vocalization,long_roar,3,"Chris, afraid (dipegang mahout belalainya",Giot,0mCage_Eloc_20211011_155016.wav
6,Spectrogram 1,1,2473.404483,2474.888144,100,7083.4,elephant_vocalization,roar,3,"Chris, afraid dan juga kegelian",Giot,0mCage_Eloc_20211011_155016.wav
7,Spectrogram 1,1,2479.528532,2480.82279,102.2,7427.7,elephant_vocalization,roar,3,"Chris, afraid dan juga kegelian",Giot,0mCage_Eloc_20211011_155016.wav
8,Spectrogram 1,1,2485.068588,2485.763068,93,4295.7,elephant_vocalization,roar,3,"Chris, afraid dan juga kegelian",Giot,0mCage_Eloc_20211011_155016.wav
9,Spectrogram 1,1,2490.056216,2491.287339,104.3,7478.3,elephant_vocalization,roar,3,"Chris, afraid dan juga kegelian",Giot,0mCage_Eloc_20211011_155016.wav
1,Spectrogram 1,1,3052.295092,3052.800169,29.2,6121.7,elephant_sound,snort,3,,Giot,0mCage_Eloc_20211011_235017.wav
2,Spectrogram 1,1,3484.598149,3485.200828,0,8000,elephant_vocalization,trumpet,3,"Boni, afraid",Giot,0mCage_Eloc_20211011_235017.wav
3,Spectrogram 1,1,3486.874935,3487.343685,0,5804.4,elephant_vocalization,trumpet,3,"Boni, afraid",Giot,0mCage_Eloc_20211011_235017.wav
4,Spectrogram 1,1,3487.834756,3488.292346,0,5681.4,elephant_vocalization,trumpet,3,"Boni, afraid",Giot,0mCage_Eloc_20211011_235017.wav
1,Spectrogram 1,1,851.3691082,852.0952325,44.6,2730.4,elephant_sound,snort,1,like snort or what (?),Giot,0mCage_Swift1_20210912_185545.wav
2,Spectrogram 1,1,2157.92358,2158.861179,295.1,7501.5,elephant_vocalization,roar,2,Boni,Giot,0mCage_Swift1_20210912_185545.wav
1,Spectrogram 1,1,798.1052999,799.2576275,10.8,7987,elephant_sound,breathing,1,not sure,Giot,0mCage_Swift1_20210912_205546.wav
2,Spectrogram 1,1,2249.675099,2250.559077,28.3,2435,elephant_sound,snort,1,,Giot,0mCage_Swift1_20210912_205546.wav
3,Spectrogram 1,1,2529.043525,2530.148497,25,7161.8,elephant_vocalization,breathing,3,Chris,Giot,0mCage_Swift1_20210912_205546.wav
4,Spectrogram 1,1,3413.33662,3414.331095,40,6911.5,elephant_vocalization,roar,2,Boni,Giot,0mCage_Swift1_20210912_205546.wav
1,Spectrogram 1,1,3120.508449,3125.925941,19.215,189.7,elephant_vocalization,rumble,3,,Giot,0mCage_Swift1_20210913_070002.wav
2,Spectrogram 1,1,3125.673376,3130.850958,19.022,202.717,elephant_vocalization,rumble,3,,Giot,0mCage_Swift1_20210913_070002.wav
1,Spectrogram 1,1,407.987018,409.0762044,30.4,8000,elephant_vocalization,unidentified,1,Chris,Giot,0mCage_Swift1_20210913_090003.wav
2,Spectrogram 1,1,2937.536066,2938.76732,25,6602.2,elephant_vocalization,unidentified,1,Chris,Giot,0mCage_Swift1_20210913_090003.wav
3,Spectrogram 1,1,3263.581654,3269.633076,18.478,127.717,elephant_vocalization,rumble,2,,Giot,0mCage_Swift1_20210913_090003.wav
4,Spectrogram 1,1,3267.489991,3271.329685,15.217,191.848,elephant_vocalization,rumble,3,,Giot,0mCage_Swift1_20210913_090003.wav
5,Spectrogram 1,1,3269.918647,3274.69594,19.565,126.63,elephant_vocalization,rumble,3,,Giot,0mCage_Swift1_20210913_090003.wav
1,Spectrogram 1,1,155.5958058,157.0006984,26.9,8000,elephant_vocalization,unidentified,2,Chris,Giot,0mCage_Swift1_20210913_100003.wav
2,Spectrogram 1,1,161.7362916,163.2201108,16.3,8000,elephant_vocalization,unidentified,2,Chris,Giot,0mCage_Swift1_20210913_100003.wav
3,Spectrogram 1,1,163.0191039,166.6355596,20.435,93.152,elephant_vocalization,rumble,3,Chris,Giot,0mCage_Swift1_20210913_100003.wav
4,Spectrogram 1,1,206.7751665,207.6457947,19.983,7980.017,elephant_vocalization,unidentified,2,Chris,Giot,0mCage_Swift1_20210913_100003.wav
5,Spectrogram 1,1,214.2313158,215.4814486,23.058,7254.691,elephant_vocalization,unidentified,2,Chris,Giot,0mCage_Swift1_20210913_100003.wav
6,Spectrogram 1,1,341.0639868,347.7499649,18.141,136.249,elephant_vocalization,rumble,3,Chris,Giot,0mCage_Swift1_20210913_100003.wav
7,Spectrogram 1,1,1304.391776,1305.195433,296.943,6422.267,elephant_vocalization,unidentified,1,Agustin,Giot,0mCage_Swift1_20210913_100003.wav
9,Spectrogram 1,1,1310.999621,1311.635849,41.304,1366.304,elephant_vocalization,unidentified,3,Agustin,Giot,0mCage_Swift1_20210913_100003.wav
